"Notes"	"State of Residence"	"State of Residence Code"	"Year"	"Year Code"	"Month"	"Month Code"	Births
	"Massachusetts"	"25"	"2021"	"2021"	"August"	"8"	6276
	"Massachusetts"	"25"	"2021"	"2021"	"September"	"9"	6200
	"Massachusetts"	"25"	"2021"	"2021"	"October"	"10"	5900
	"Massachusetts"	"25"	"2021"	"2021"	"November"	"11"	5620
	"Massachusetts"	"25"	"2021"	"2021"	"December"	"12"	5486
"Total"	"Massachusetts"	"25"	"2021"	"2021"			69137
	"Massachusetts"	"25"	"2022"	"2022"	"January"	"1"	5293
	"Massachusetts"	"25"	"2022"	"2022"	"February"	"2"	5016
	"Massachusetts"	"25"	"2022"	"2022"	"March"	"3"	5798
	"Massachusetts"	"25"	"2022"	"2022"	"April"	"4"	5567
	"Massachusetts"	"25"	"2022"	"2022"	"May"	"5"	5756
	"Massachusetts"	"25"	"2022"	"2022"	"June"	"6"	5800
	"Massachusetts"	"25"	"2022"	"2022"	"July"	"7"	6047
	"Massachusetts"	"25"	"2022"	"2022"	"August"	"8"	6294
	"Massachusetts"	"25"	"2022"	"2022"	"September"	"9"	5995
	"Massachusetts"	"25"	"2022"	"2022"	"October"	"10"	5737
	"Massachusetts"	"25"	"2022"	"2022"	"November"	"11"	5637
	"Massachusetts"	"25"	"2022"	"2022"	"December"	"12"	5644
"Total"	"Massachusetts"	"25"	"2022"	"2022"			68584
"Total"	"Massachusetts"	"25"					204149
	"Michigan"	"26"	"2020"	"2020"	"January"	"1"	8652
	"Michigan"	"26"	"2020"	"2020"	"February"	"2"	8283
	"Michigan"	"26"	"2020"	"2020"	"March"	"3"	8783
	"Michigan"	"26"	"2020"	"2020"	"April"	"4"	8516
	"Michigan"	"26"	"2020"	"2020"	"May"	"5"	9016
	"Michigan"	"26"	"2020"	"2020"	"June"	"6"	9036
	"Michigan"	"26"	"2020"	"2020"	"July"	"7"	9382
	"Michigan"	"26"	"2020"	"2020"	"August"	"8"	9105
	"Michigan"	"26"	"2020"	"2020"	"September"	"9"	8873
	"Michigan"	"26"	"2020"	"2020"	"October"	"10"	8657
	"Michigan"	"26"	"2020"	"2020"	"November"	"11"	7822
	"Michigan"	"26"	"2020"	"2020"	"December"	"12"	7949
"Total"	"Michigan"	"26"	"2020"	"2020"			104074
	"Michigan"	"26"	"2021"	"2021"	"January"	"1"	7710
	"Michigan"	"26"	"2021"	"2021"	"February"	"2"	7623
	"Michigan"	"26"	"2021"	"2021"	"March"	"3"	8622
	"Michigan"	"26"	"2021"	"2021"	"April"	"4"	8583
	"Michigan"	"26"	"2021"	"2021"	"May"	"5"	8923
	"Michigan"	"26"	"2021"	"2021"	"June"	"6"	9498
	"Michigan"	"26"	"2021"	"2021"	"July"	"7"	9728
	"Michigan"	"26"	"2021"	"2021"	"August"	"8"	9459
	"Michigan"	"26"	"2021"	"2021"	"September"	"9"	9133
	"Michigan"	"26"	"2021"	"2021"	"October"	"10"	8607
	"Michigan"	"26"	"2021"	"2021"	"November"	"11"	8417
	"Michigan"	"26"	"2021"	"2021"	"December"	"12"	8677
"Total"	"Michigan"	"26"	"2021"	"2021"			104980
	"Michigan"	"26"	"2022"	"2022"	"January"	"1"	7901
	"Michigan"	"26"	"2022"	"2022"	"February"	"2"	7683
	"Michigan"	"26"	"2022"	"2022"	"March"	"3"	8738
	"Michigan"	"26"	"2022"	"2022"	"April"	"4"	8341
	"Michigan"	"26"	"2022"	"2022"	"May"	"5"	8812
	"Michigan"	"26"	"2022"	"2022"	"June"	"6"	8935
	"Michigan"	"26"	"2022"	"2022"	"July"	"7"	9029
	"Michigan"	"26"	"2022"	"2022"	"August"	"8"	9072
	"Michigan"	"26"	"2022"	"2022"	"September"	"9"	8632
	"Michigan"	"26"	"2022"	"2022"	"October"	"10"	8412
	"Michigan"	"26"	"2022"	"2022"	"November"	"11"	8272
	"Michigan"	"26"	"2022"	"2022"	"December"	"12"	8494
"Total"	"Michigan"	"26"	"2022"	"2022"			102321
"Total"	"Michigan"	"26"					311375
	"Minnesota"	"27"	"2020"	"2020"	"January"	"1"	5031
	"Minnesota"	"27"	"2020"	"2020"	"February"	"2"	4910
	"Minnesota"	"27"	"2020"	"2020"	"March"	"3"	5392
	"Minnesota"	"27"	"2020"	"2020"	"April"	"4"	5311
	"Minnesota"	"27"	"2020"	"2020"	"May"	"5"	5602
	"Minnesota"	"27"	"2020"	"2020"	"June"	"6"	5554
	"Minnesota"	"27"	"2020"	"2020"	"July"	"7"	5752
	"Minnesota"	"27"	"2020"	"2020"	"August"	"8"	5563
	"Minnesota"	"27"	"2020"	"2020"	"September"	"9"	5297
	"Minnesota"	"27"	"2020"	"2020"	"October"	"10"	5272
	"Minnesota"	"27"	"2020"	"2020"	"November"	"11"	4783
	"Minnesota"	"27"	"2020"	"2020"	"December"	"12"	4976
"Total"	"Minnesota"	"27"	"2020"	"2020"			63443
	"Minnesota"	"27"	"2021"	"2021"	"January"	"1"	4655
	"Minnesota"	"27"	"2021"	"2021"	"February"	"2"	4672
	"Minnesota"	"27"	"2021"	"2021"	"March"	"3"	5399
	"Minnesota"	"27"	"2021"	"2021"	"April"	"4"	5282
	"Minnesota"	"27"	"2021"	"2021"	"May"	"5"	5580
	"Minnesota"	"27"	"2021"	"2021"	"June"	"6"	5806
	"Minnesota"	"27"	"2021"	"2021"	"July"	"7"	5862
	"Minnesota"	"27"	"2021"	"2021"	"August"	"8"	5759
	"Minnesota"	"27"	"2021"	"2021"	"September"	"9"	5599
	"Minnesota"	"27"	"2021"	"2021"	"October"	"10"	5411
	"Minnesota"	"27"	"2021"	"2021"	"November"	"11"	5226
	"Minnesota"	"27"	"2021"	"2021"	"December"	"12"	5174
"Total"	"Minnesota"	"27"	"2021"	"2021"			64425
	"Minnesota"	"27"	"2022"	"2022"	"January"	"1"	4905
	"Minnesota"	"27"	"2022"	"2022"	"February"	"2"	4915
	"Minnesota"	"27"	"2022"	"2022"	"March"	"3"	5355
	"Minnesota"	"27"	"2022"	"2022"	"April"	"4"	5209
	"Minnesota"	"27"	"2022"	"2022"	"May"	"5"	5588
	"Minnesota"	"27"	"2022"	"2022"	"June"	"6"	5632
	"Minnesota"	"27"	"2022"	"2022"	"July"	"7"	5667
	"Minnesota"	"27"	"2022"	"2022"	"August"	"8"	5542
	"Minnesota"	"27"	"2022"	"2022"	"September"	"9"	5361
	"Minnesota"	"27"	"2022"	"2022"	"October"	"10"	5296
	"Minnesota"	"27"	"2022"	"2022"	"November"	"11"	5181
	"Minnesota"	"27"	"2022"	"2022"	"December"	"12"	5364
"Total"	"Minnesota"	"27"	"2022"	"2022"			64015
"Total"	"Minnesota"	"27"					191883
	"Mississippi"	"28"	"2020"	"2020"	"January"	"1"	3111
	"Mississippi"	"28"	"2020"	"2020"	"February"	"2"	2684
	"Mississippi"	"28"	"2020"	"2020"	"March"	"3"	2899
	"Mississippi"	"28"	"2020"	"2020"	"April"	"4"	2700
	"Mississippi"	"28"	"2020"	"2020"	"May"	"5"	2779
	"Mississippi"	"28"	"2020"	"2020"	"June"	"6"	3020
	"Mississippi"	"28"	"2020"	"2020"	"July"	"7"	3141
	"Mississippi"	"28"	"2020"	"2020"	"August"	"8"	3143
	"Mississippi"	"28"	"2020"	"2020"	"September"	"9"	3166
	"Mississippi"	"28"	"2020"	"2020"	"October"	"10"	3060
	"Mississippi"	"28"	"2020"	"2020"	"November"	"11"	2838
	"Mississippi"	"28"	"2020"	"2020"	"December"	"12"	2932
"Total"	"Mississippi"	"28"	"2020"	"2020"			35473
	"Mississippi"	"28"	"2021"	"2021"	"January"	"1"	2742
	"Mississippi"	"28"	"2021"	"2021"	"February"	"2"	2652
	"Mississippi"	"28"	"2021"	"2021"	"March"	"3"	2922
	"Mississippi"	"28"	"2021"	"2021"	"April"	"4"	2606
	"Mississippi"	"28"	"2021"	"2021"	"May"	"5"	2760
	"Mississippi"	"28"	"2021"	"2021"	"June"	"6"	3000
	"Mississippi"	"28"	"2021"	"2021"	"July"	"7"	3117
	"Mississippi"	"28"	"2021"	"2021"	"August"	"8"	3187
	"Mississippi"	"28"	"2021"	"2021"	"September"	"9"	3173
	"Mississippi"	"28"	"2021"	"2021"	"October"	"10"	3120
	"Mississippi"	"28"	"2021"	"2021"	"November"	"11"	2889
	"Mississippi"	"28"	"2021"	"2021"	"December"	"12"	2988
"Total"	"Mississippi"	"28"	"2021"	"2021"			35156
	"Mississippi"	"28"	"2022"	"2022"	"January"	"1"	2853
	"Mississippi"	"28"	"2022"	"2022"	"February"	"2"	2656
	"Mississippi"	"28"	"2022"	"2022"	"March"	"3"	2824
	"Mississippi"	"28"	"2022"	"2022"	"April"	"4"	2566
	"Mississippi"	"28"	"2022"	"2022"	"May"	"5"	2660
	"Mississippi"	"28"	"2022"	"2022"	"June"	"6"	2862
	"Mississippi"	"28"	"2022"	"2022"	"July"	"7"	3028
	"Mississippi"	"28"	"2022"	"2022"	"August"	"8"	3392
	"Mississippi"	"28"	"2022"	"2022"	"September"	"9"	2991
	"Mississippi"	"28"	"2022"	"2022"	"October"	"10"	2783
	"Mississippi"	"28"	"2022"	"2022"	"November"	"11"	2924
	"Mississippi"	"28"	"2022"	"2022"	"December"	"12"	3136
"Total"	"Mississippi"	"28"	"2022"	"2022"			34675
"Total"	"Mississippi"	"28"					105304
	"Missouri"	"29"	"2020"	"2020"	"January"	"1"	5819
	"Missouri"	"29"	"2020"	"2020"	"February"	"2"	5448
	"Missouri"	"29"	"2020"	"2020"	"March"	"3"	5752
	"Missouri"	"29"	"2020"	"2020"	"April"	"4"	5552
	"Missouri"	"29"	"2020"	"2020"	"May"	"5"	5785
	"Missouri"	"29"	"2020"	"2020"	"June"	"6"	5878
	"Missouri"	"29"	"2020"	"2020"	"July"	"7"	6284
	"Missouri"	"29"	"2020"	"2020"	"August"	"8"	6333
	"Missouri"	"29"	"2020"	"2020"	"September"	"9"	5923
	"Missouri"	"29"	"2020"	"2020"	"October"	"10"	5819
	"Missouri"	"29"	"2020"	"2020"	"November"	"11"	5190
	"Missouri"	"29"	"2020"	"2020"	"December"	"12"	5502
"Total"	"Missouri"	"29"	"2020"	"2020"			69285
	"Missouri"	"29"	"2021"	"2021"	"January"	"1"	5431
	"Missouri"	"29"	"2021"	"2021"	"February"	"2"	4997
	"Missouri"	"29"	"2021"	"2021"	"March"	"3"	5869
	"Missouri"	"29"	"2021"	"2021"	"April"	"4"	5523
	"Missouri"	"29"	"2021"	"2021"	"May"	"5"	5852
	"Missouri"	"29"	"2021"	"2021"	"June"	"6"	6050
	"Missouri"	"29"	"2021"	"2021"	"July"	"7"	6291
	"Missouri"	"29"	"2021"	"2021"	"August"	"8"	6235
	"Missouri"	"29"	"2021"	"2021"	"September"	"9"	6041
	"Missouri"	"29"	"2021"	"2021"	"October"	"10"	5913
	"Missouri"	"29"	"2021"	"2021"	"November"	"11"	5537
	"Missouri"	"29"	"2021"	"2021"	"December"	"12"	5714
"Total"	"Missouri"	"29"	"2021"	"2021"			69453
	"Missouri"	"29"	"2022"	"2022"	"January"	"1"	5443
	"Missouri"	"29"	"2022"	"2022"	"February"	"2"	5041
	"Missouri"	"29"	"2022"	"2022"	"March"	"3"	5779
	"Missouri"	"29"	"2022"	"2022"	"April"	"4"	5457
	"Missouri"	"29"	"2022"	"2022"	"May"	"5"	5559
	"Missouri"	"29"	"2022"	"2022"	"June"	"6"	5941
	"Missouri"	"29"	"2022"	"2022"	"July"	"7"	6156
	"Missouri"	"29"	"2022"	"2022"	"August"	"8"	6401
	"Missouri"	"29"	"2022"	"2022"	"September"	"9"	5956
	"Missouri"	"29"	"2022"	"2022"	"October"	"10"	5732
	"Missouri"	"29"	"2022"	"2022"	"November"	"11"	5581
	"Missouri"	"29"	"2022"	"2022"	"December"	"12"	5939
"Total"	"Missouri"	"29"	"2022"	"2022"			68985
"Total"	"Missouri"	"29"					207723
	"Montana"	"30"	"2020"	"2020"	"January"	"1"	865
	"Montana"	"30"	"2020"	"2020"	"February"	"2"	882
	"Montana"	"30"	"2020"	"2020"	"March"	"3"	930
	"Montana"	"30"	"2020"	"2020"	"April"	"4"	915
	"Montana"	"30"	"2020"	"2020"	"May"	"5"	940
	"Montana"	"30"	"2020"	"2020"	"June"	"6"	967
	"Montana"	"30"	"2020"	"2020"	"July"	"7"	959
	"Montana"	"30"	"2020"	"2020"	"August"	"8"	928
	"Montana"	"30"	"2020"	"2020"	"September"	"9"	860
	"Montana"	"30"	"2020"	"2020"	"October"	"10"	863
	"Montana"	"30"	"2020"	"2020"	"November"	"11"	826
	"Montana"	"30"	"2020"	"2020"	"December"	"12"	856
"Total"	"Montana"	"30"	"2020"	"2020"			10791
	"Montana"	"30"	"2021"	"2021"	"January"	"1"	837
	"Montana"	"30"	"2021"	"2021"	"February"	"2"	826
	"Montana"	"30"	"2021"	"2021"	"March"	"3"	965
	"Montana"	"30"	"2021"	"2021"	"April"	"4"	955
	"Montana"	"30"	"2021"	"2021"	"May"	"5"	949
	"Montana"	"30"	"2021"	"2021"	"June"	"6"	1025
	"Montana"	"30"	"2021"	"2021"	"July"	"7"	1012
	"Montana"	"30"	"2021"	"2021"	"August"	"8"	963
	"Montana"	"30"	"2021"	"2021"	"September"	"9"	972
	"Montana"	"30"	"2021"	"2021"	"October"	"10"	901
	"Montana"	"30"	"2021"	"2021"	"November"	"11"	854
	"Montana"	"30"	"2021"	"2021"	"December"	"12"	972
"Total"	"Montana"	"30"	"2021"	"2021"			11231
	"Montana"	"30"	"2022"	"2022"	"January"	"1"	842
	"Montana"	"30"	"2022"	"2022"	"February"	"2"	832
	"Montana"	"30"	"2022"	"2022"	"March"	"3"	947
	"Montana"	"30"	"2022"	"2022"	"April"	"4"	891
	"Montana"	"30"	"2022"	"2022"	"May"	"5"	1015
	"Montana"	"30"	"2022"	"2022"	"June"	"6"	1013
	"Montana"	"30"	"2022"	"2022"	"July"	"7"	1014
	"Montana"	"30"	"2022"	"2022"	"August"	"8"	947
	"Montana"	"30"	"2022"	"2022"	"September"	"9"	974
	"Montana"	"30"	"2022"	"2022"	"October"	"10"	886
	"Montana"	"30"	"2022"	"2022"	"November"	"11"	867
	"Montana"	"30"	"2022"	"2022"	"December"	"12"	947
"Total"	"Montana"	"30"	"2022"	"2022"			11175
"Total"	"Montana"	"30"					33197
	"Nebraska"	"31"	"2020"	"2020"	"January"	"1"	2050
	"Nebraska"	"31"	"2020"	"2020"	"February"	"2"	1824
	"Nebraska"	"31"	"2020"	"2020"	"March"	"3"	2162
	"Nebraska"	"31"	"2020"	"2020"	"April"	"4"	1992
	"Nebraska"	"31"	"2020"	"2020"	"May"	"5"	2039
	"Nebraska"	"31"	"2020"	"2020"	"June"	"6"	2024
	"Nebraska"	"31"	"2020"	"2020"	"July"	"7"	2143
	"Nebraska"	"31"	"2020"	"2020"	"August"	"8"	2129
	"Nebraska"	"31"	"2020"	"2020"	"September"	"9"	2041
	"Nebraska"	"31"	"2020"	"2020"	"October"	"10"	2093
	"Nebraska"	"31"	"2020"	"2020"	"November"	"11"	1857
	"Nebraska"	"31"	"2020"	"2020"	"December"	"12"	1937
"Total"	"Nebraska"	"31"	"2020"	"2020"			24291
	"Nebraska"	"31"	"2021"	"2021"	"January"	"1"	1826
	"Nebraska"	"31"	"2021"	"2021"	"February"	"2"	1877
	"Nebraska"	"31"	"2021"	"2021"	"March"	"3"	2080
	"Nebraska"	"31"	"2021"	"2021"	"April"	"4"	2053
	"Nebraska"	"31"	"2021"	"2021"	"May"	"5"	2151
	"Nebraska"	"31"	"2021"	"2021"	"June"	"6"	2188
	"Nebraska"	"31"	"2021"	"2021"	"July"	"7"	2179
	"Nebraska"	"31"	"2021"	"2021"	"August"	"8"	2129
	"Nebraska"	"31"	"2021"	"2021"	"September"	"9"	2112
	"Nebraska"	"31"	"2021"	"2021"	"October"	"10"	2067
	"Nebraska"	"31"	"2021"	"2021"	"November"	"11"	1926
	"Nebraska"	"31"	"2021"	"2021"	"December"	"12"	2021
"Total"	"Nebraska"	"31"	"2021"	"2021"			24609
	"Nebraska"	"31"	"2022"	"2022"	"January"	"1"	1857
	"Nebraska"	"31"	"2022"	"2022"	"February"	"2"	1845
	"Nebraska"	"31"	"2022"	"2022"	"March"	"3"	2054
	"Nebraska"	"31"	"2022"	"2022"	"April"	"4"	1920
	"Nebraska"	"31"	"2022"	"2022"	"May"	"5"	1992
	"Nebraska"	"31"	"2022"	"2022"	"June"	"6"	2095
	"Nebraska"	"31"	"2022"	"2022"	"July"	"7"	2153
	"Nebraska"	"31"	"2022"	"2022"	"August"	"8"	2250
	"Nebraska"	"31"	"2022"	"2022"	"September"	"9"	2067
	"Nebraska"	"31"	"2022"	"2022"	"October"	"10"	2080
	"Nebraska"	"31"	"2022"	"2022"	"November"	"11"	2003
	"Nebraska"	"31"	"2022"	"2022"	"December"	"12"	2029
"Total"	"Nebraska"	"31"	"2022"	"2022"			24345
"Total"	"Nebraska"	"31"					73245
	"Nevada"	"32"	"2020"	"2020"	"January"	"1"	2761
	"Nevada"	"32"	"2020"	"2020"	"February"	"2"	2619
	"Nevada"	"32"	"2020"	"2020"	"March"	"3"	2821
	"Nevada"	"32"	"2020"	"2020"	"April"	"4"	2669
	"Nevada"	"32"	"2020"	"2020"	"May"	"5"	2739
	"Nevada"	"32"	"2020"	"2020"	"June"	"6"	2747
	"Nevada"	"32"	"2020"	"2020"	"July"	"7"	3070
	"Nevada"	"32"	"2020"	"2020"	"August"	"8"	2955
	"Nevada"	"32"	"2020"	"2020"	"September"	"9"	2924
	"Nevada"	"32"	"2020"	"2020"	"October"	"10"	2910
	"Nevada"	"32"	"2020"	"2020"	"November"	"11"	2673
	"Nevada"	"32"	"2020"	"2020"	"December"	"12"	2765
"Total"	"Nevada"	"32"	"2020"	"2020"			33653
	"Nevada"	"32"	"2021"	"2021"	"January"	"1"	2566
	"Nevada"	"32"	"2021"	"2021"	"February"	"2"	2444
	"Nevada"	"32"	"2021"	"2021"	"March"	"3"	2765
	"Nevada"	"32"	"2021"	"2021"	"April"	"4"	2610
	"Nevada"	"32"	"2021"	"2021"	"May"	"5"	2798
	"Nevada"	"32"	"2021"	"2021"	"June"	"6"	2852
	"Nevada"	"32"	"2021"	"2021"	"July"	"7"	2977
	"Nevada"	"32"	"2021"	"2021"	"August"	"8"	3098
	"Nevada"	"32"	"2021"	"2021"	"September"	"9"	2914
	"Nevada"	"32"	"2021"	"2021"	"October"	"10"	2967
	"Nevada"	"32"	"2021"	"2021"	"November"	"11"	2812
	"Nevada"	"32"	"2021"	"2021"	"December"	"12"	2883
"Total"	"Nevada"	"32"	"2021"	"2021"			33686
	"Nevada"	"32"	"2022"	"2022"	"January"	"1"	2759
	"Nevada"	"32"	"2022"	"2022"	"February"	"2"	2496
	"Nevada"	"32"	"2022"	"2022"	"March"	"3"	2647
	"Nevada"	"32"	"2022"	"2022"	"April"	"4"	2632
	"Nevada"	"32"	"2022"	"2022"	"May"	"5"	2668
	"Nevada"	"32"	"2022"	"2022"	"June"	"6"	2651
	"Nevada"	"32"	"2022"	"2022"	"July"	"7"	2917
	"Nevada"	"32"	"2022"	"2022"	"August"	"8"	3028
	"Nevada"	"32"	"2022"	"2022"	"September"	"9"	2865
	"Nevada"	"32"	"2022"	"2022"	"October"	"10"	2830
	"Nevada"	"32"	"2022"	"2022"	"November"	"11"	2850
	"Nevada"	"32"	"2022"	"2022"	"December"	"12"	2850
"Total"	"Nevada"	"32"	"2022"	"2022"			33193
"Total"	"Nevada"	"32"					100532
	"New Hampshire"	"33"	"2020"	"2020"	"January"	"1"	911
	"New Hampshire"	"33"	"2020"	"2020"	"February"	"2"	857
	"New Hampshire"	"33"	"2020"	"2020"	"March"	"3"	1018
	"New Hampshire"	"33"	"2020"	"2020"	"April"	"4"	985
	"New Hampshire"	"33"	"2020"	"2020"	"May"	"5"	1010
	"New Hampshire"	"33"	"2020"	"2020"	"June"	"6"	1007
	"New Hampshire"	"33"	"2020"	"2020"	"July"	"7"	1163
	"New Hampshire"	"33"	"2020"	"2020"	"August"	"8"	1054
	"New Hampshire"	"33"	"2020"	"2020"	"September"	"9"	1012
	"New Hampshire"	"33"	"2020"	"2020"	"October"	"10"	1018
	"New Hampshire"	"33"	"2020"	"2020"	"November"	"11"	894
	"New Hampshire"	"33"	"2020"	"2020"	"December"	"12"	862
"Total"	"New Hampshire"	"33"	"2020"	"2020"			11791
	"New Hampshire"	"33"	"2021"	"2021"	"January"	"1"	838
	"New Hampshire"	"33"	"2021"	"2021"	"February"	"2"	944
	"New Hampshire"	"33"	"2021"	"2021"	"March"	"3"	994
	"New Hampshire"	"33"	"2021"	"2021"	"April"	"4"	1084
	"New Hampshire"	"33"	"2021"	"2021"	"May"	"5"	1098
	"New Hampshire"	"33"	"2021"	"2021"	"June"	"6"	1134
	"New Hampshire"	"33"	"2021"	"2021"	"July"	"7"	1185
	"New Hampshire"	"33"	"2021"	"2021"	"August"	"8"	1181
	"New Hampshire"	"33"	"2021"	"2021"	"September"	"9"	1104
	"New Hampshire"	"33"	"2021"	"2021"	"October"	"10"	1095
	"New Hampshire"	"33"	"2021"	"2021"	"November"	"11"	1021
	"New Hampshire"	"33"	"2021"	"2021"	"December"	"12"	947
"Total"	"New Hampshire"	"33"	"2021"	"2021"			12625
	"New Hampshire"	"33"	"2022"	"2022"	"January"	"1"	883
	"New Hampshire"	"33"	"2022"	"2022"	"February"	"2"	895
	"New Hampshire"	"33"	"2022"	"2022"	"March"	"3"	984
	"New Hampshire"	"33"	"2022"	"2022"	"April"	"4"	967
	"New Hampshire"	"33"	"2022"	"2022"	"May"	"5"	1059
	"New Hampshire"	"33"	"2022"	"2022"	"June"	"6"	1017
	"New Hampshire"	"33"	"2022"	"2022"	"July"	"7"	1138
	"New Hampshire"	"33"	"2022"	"2022"	"August"	"8"	1082
	"New Hampshire"	"33"	"2022"	"2022"	"September"	"9"	1061
	"New Hampshire"	"33"	"2022"	"2022"	"October"	"10"	1003
	"New Hampshire"	"33"	"2022"	"2022"	"November"	"11"	990
	"New Hampshire"	"33"	"2022"	"2022"	"December"	"12"	998
"Total"	"New Hampshire"	"33"	"2022"	"2022"			12077
"Total"	"New Hampshire"	"33"					36493
	"New Jersey"	"34"	"2020"	"2020"	"January"	"1"	8161
	"New Jersey"	"34"	"2020"	"2020"	"February"	"2"	7555
	"New Jersey"	"34"	"2020"	"2020"	"March"	"3"	8174
	"New Jersey"	"34"	"2020"	"2020"	"April"	"4"	7849
	"New Jersey"	"34"	"2020"	"2020"	"May"	"5"	8398
	"New Jersey"	"34"	"2020"	"2020"	"June"	"6"	8446
	"New Jersey"	"34"	"2020"	"2020"	"July"	"7"	8719
	"New Jersey"	"34"	"2020"	"2020"	"August"	"8"	8657
	"New Jersey"	"34"	"2020"	"2020"	"September"	"9"	8652
	"New Jersey"	"34"	"2020"	"2020"	"October"	"10"	7943
	"New Jersey"	"34"	"2020"	"2020"	"November"	"11"	7784
	"New Jersey"	"34"	"2020"	"2020"	"December"	"12"	7616
"Total"	"New Jersey"	"34"	"2020"	"2020"			97954
	"New Jersey"	"34"	"2021"	"2021"	"January"	"1"	7189
	"New Jersey"	"34"	"2021"	"2021"	"February"	"2"	7377
	"New Jersey"	"34"	"2021"	"2021"	"March"	"3"	8447
	"New Jersey"	"34"	"2021"	"2021"	"April"	"4"	8376
	"New Jersey"	"34"	"2021"	"2021"	"May"	"5"	8337
	"New Jersey"	"34"	"2021"	"2021"	"June"	"6"	8852
	"New Jersey"	"34"	"2021"	"2021"	"July"	"7"	9161
	"New Jersey"	"34"	"2021"	"2021"	"August"	"8"	9210
	"New Jersey"	"34"	"2021"	"2021"	"September"	"9"	9024
	"New Jersey"	"34"	"2021"	"2021"	"October"	"10"	8783
	"New Jersey"	"34"	"2021"	"2021"	"November"	"11"	8297
	"New Jersey"	"34"	"2021"	"2021"	"December"	"12"	8444
"Total"	"New Jersey"	"34"	"2021"	"2021"			101497
	"New Jersey"	"34"	"2022"	"2022"	"January"	"1"	8154
	"New Jersey"	"34"	"2022"	"2022"	"February"	"2"	7739
	"New Jersey"	"34"	"2022"	"2022"	"March"	"3"	8661
	"New Jersey"	"34"	"2022"	"2022"	"April"	"4"	8192
	"New Jersey"	"34"	"2022"	"2022"	"May"	"5"	8332
	"New Jersey"	"34"	"2022"	"2022"	"June"	"6"	8638
	"New Jersey"	"34"	"2022"	"2022"	"July"	"7"	9114
	"New Jersey"	"34"	"2022"	"2022"	"August"	"8"	9298
	"New Jersey"	"34"	"2022"	"2022"	"September"	"9"	8580
	"New Jersey"	"34"	"2022"	"2022"	"October"	"10"	8716
	"New Jersey"	"34"	"2022"	"2022"	"November"	"11"	8695
	"New Jersey"	"34"	"2022"	"2022"	"December"	"12"	8774
"Total"	"New Jersey"	"34"	"2022"	"2022"			102893
"Total"	"New Jersey"	"34"					302344
	"New Mexico"	"35"	"2020"	"2020"	"January"	"1"	1816
	"New Mexico"	"35"	"2020"	"2020"	"February"	"2"	1722
	"New Mexico"	"35"	"2020"	"2020"	"March"	"3"	1861
	"New Mexico"	"35"	"2020"	"2020"	"April"	"4"	1756
	"New Mexico"	"35"	"2020"	"2020"	"May"	"5"	1818
	"New Mexico"	"35"	"2020"	"2020"	"June"	"6"	1783
	"New Mexico"	"35"	"2020"	"2020"	"July"	"7"	1943
	"New Mexico"	"35"	"2020"	"2020"	"August"	"8"	1999
	"New Mexico"	"35"	"2020"	"2020"	"September"	"9"	1931
	"New Mexico"	"35"	"2020"	"2020"	"October"	"10"	1870
	"New Mexico"	"35"	"2020"	"2020"	"November"	"11"	1647
	"New Mexico"	"35"	"2020"	"2020"	"December"	"12"	1757
"Total"	"New Mexico"	"35"	"2020"	"2020"			21903
	"New Mexico"	"35"	"2021"	"2021"	"January"	"1"	1671
	"New Mexico"	"35"	"2021"	"2021"	"February"	"2"	1573
	"New Mexico"	"35"	"2021"	"2021"	"March"	"3"	1729
	"New Mexico"	"35"	"2021"	"2021"	"April"	"4"	1734
	"New Mexico"	"35"	"2021"	"2021"	"May"	"5"	1732
	"New Mexico"	"35"	"2021"	"2021"	"June"	"6"	1828
	"New Mexico"	"35"	"2021"	"2021"	"July"	"7"	1877
	"New Mexico"	"35"	"2021"	"2021"	"August"	"8"	1863
	"New Mexico"	"35"	"2021"	"2021"	"September"	"9"	1910
	"New Mexico"	"35"	"2021"	"2021"	"October"	"10"	1818
	"New Mexico"	"35"	"2021"	"2021"	"November"	"11"	1793
	"New Mexico"	"35"	"2021"	"2021"	"December"	"12"	1863
"Total"	"New Mexico"	"35"	"2021"	"2021"			21391
	"New Mexico"	"35"	"2022"	"2022"	"January"	"1"	1728
	"New Mexico"	"35"	"2022"	"2022"	"February"	"2"	1580
	"New Mexico"	"35"	"2022"	"2022"	"March"	"3"	1812
	"New Mexico"	"35"	"2022"	"2022"	"April"	"4"	1699
	"New Mexico"	"35"	"2022"	"2022"	"May"	"5"	1769
	"New Mexico"	"35"	"2022"	"2022"	"June"	"6"	1729
	"New Mexico"	"35"	"2022"	"2022"	"July"	"7"	2028
	"New Mexico"	"35"	"2022"	"2022"	"August"	"8"	2018
	"New Mexico"	"35"	"2022"	"2022"	"September"	"9"	1827
	"New Mexico"	"35"	"2022"	"2022"	"October"	"10"	1822
	"New Mexico"	"35"	"2022"	"2022"	"November"	"11"	1799
	"New Mexico"	"35"	"2022"	"2022"	"December"	"12"	1803
"Total"	"New Mexico"	"35"	"2022"	"2022"			21614
"Total"	"New Mexico"	"35"					64908
	"New York"	"36"	"2020"	"2020"	"January"	"1"	17981
	"New York"	"36"	"2020"	"2020"	"February"	"2"	16693
	"New York"	"36"	"2020"	"2020"	"March"	"3"	17746
	"New York"	"36"	"2020"	"2020"	"April"	"4"	17164
